retailer,name,brand,package_size,instore_price,instore_was_price,online_price,online_was_price,save_percent,category_original,category_std
Woolworth,Nerada Organics Green Tea Cup Bags 150g,Nerada,150g,9.0,9.0,9.0,9.0,0.0,"[""Tea"",""Tea & Coffee""]",Tea
Woolworth,Pukka Tea Bags Three Mint 20 pack,Pukka,20 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea & Coffee"",""Tea""]",Tea
Woolworth,Pukka Chamomile Vanilla & Manuka Honey Herbal Tea Sachets 20 pack,Pukka,20 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea & Coffee"",""Tea""]",Tea
Woolworth,Pukka Morning Berry Tea Bags 20 pack,Pukka,20 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea & Coffee"",""Tea""]",Tea
Woolworth,Origin Tea Original Sticky Chai 120g,Origin Tea,120g,9.0,9.0,9.0,9.0,0.0,"[""Tea & Coffee"",""Tea""]",Tea
Woolworth,Zoetic Tea Bags Chamomile 80 pack,Zoetic,80 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea & Coffee"",""Tea""]",Tea
Woolworth,Pukka Herbal Collection Organic Tea Satchets 20 pack,Pukka,20 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea"",""Tea & Coffee""]",Tea
Woolworth,Zoetic English Breakfast Tea Bags 100 pack,Zoetic,100 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea & Coffee"",""Tea""]",Tea
Woolworth,Zoetic Tea Bags Lemon Ginger 80 pack,Zoetic,80 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea & Coffee"",""Tea""]",Tea
Woolworth,Zoetic Tea Bags Earl Grey 100 pack,Zoetic,100 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea & Coffee"",""Tea""]",Tea
Woolworth,Zoetic Tea Bags Peppermint 80 pack,Zoetic,80 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea & Coffee"",""Tea""]",Tea
Woolworth,Zoetic Green Tea Bags 100 pack,Zoetic,100 pack,9.0,9.0,9.0,9.0,0.0,"[""Tea"",""Tea & Coffee""]",Tea
Woolworth,Daily Juice Co Pulp Free Orange Fruit Juice 3L,Daily Juice Co,3L,8.95,8.95,8.95,8.95,0.0,"[""Cordials, Juices & Iced Teas""]",Juice
Woolworth,Nexba Calm Blueberry Drink Cans 330mL x 4 pack,Nexba,330mL x 4 pack,8.95,8.95,8.95,8.95,0.0,"[""Soft Drinks""]",Juice
Woolworth,Nexba Detox Cranberry & Apple Drink Cans 330mL x 4 pack,Nexba,330mL x 4 pack,8.95,8.95,8.95,8.95,0.0,"[""Soft Drinks""]",Juice
Woolworth,Nexba Gut Tropical Probiotic Drink Cans 330mL x 4 pack,Nexba,330mL x 4 pack,8.95,8.95,8.95,8.95,0.0,"[""Soft Drinks""]",Soft Drink
Woolworth,Nexba Immunity Lemon & Ginger Drink Cans 330mL x 4 pack,Nexba,330mL x 4 pack,8.95,8.95,8.95,8.95,0.0,"[""Soft Drinks""]",Juice
Woolworth,Organic India Tulsi Turmeric Ginger Tea Bags 25 Pack,Organic India,25EA,8.95,8.95,8.95,8.95,0.0,"[""Tea"",""Pantry""]",Tea
Woolworth,Organic India Deep Mint Tea Bags 25 Pack,Organic India,25EA,8.95,8.95,8.95,8.95,0.0,"[""Tea"",""Pantry""]",Tea
Woolworth,Organic India Fresh Chamomile Tea Bags 25 Pack,Organic India,25EA,8.95,8.95,8.95,8.95,0.0,"[""Tea"",""Pantry""]",Tea
Woolworth,Organic India Spicy Fennel Tea Bags 25 Pack,Organic India,25EA,8.95,8.95,8.95,8.95,0.0,"[""Tea"",""Pantry""]",Tea
Woolworth,Organic India Tulsi Lemon Ginger Tea Bags 25 Pack,Organic India,25EA,8.95,8.95,8.95,8.95,0.0,"[""Tea"",""Pantry""]",Tea
Woolworth,Organic India Immuno Guard Tea Bags 25 Pack,Organic India,25EA,8.95,8.95,8.95,8.95,0.0,"[""Tea"",""Pantry""]",Tea
Woolworth,Mother Energy Drink Original Multipack Cans 500mL x 4 pack,Mother,500mL x 4 pack,8.9,8.9,8.9,8.9,0.0,"[""Sports & Energy Drinks""]",Sport & Energy
